"meta","author","editor","publisher"
"06013","06024, 06013; 06025, 06014","",""
"06014","06026, 06014; 06027, 06015","","06028, 06016"
"06015","06029, 06017; 06030, 06014","",""
"06016","06031, 06018; 06032, 06014","",""
"06017","06033, 06019; 06034, 06014","",""
"06018","06035, 06015; 06036, 06014","",""
"06019","06037, 06020; 06038, 06014","",""
"06020","06039, 06021; 06040, 06014","",""
"06021","06041, 06014; 06042, 06022","",""
"06022","06043, 06014; 06044, 06023","",""
"06023","06045, 06024; 06046, 06014","",""
